id,number,mesh_file,top_level_id,material,shape,size_x,size_y
sc-1,,,lv-2,concrete,,0.3,
sc-2,,,lv-2,concrete,,0.3,
sc-3,,,lv-2,concrete,,0.3,
sc-4,,,lv-2,concrete,,0.3,
sc-5,,,lv-2,concrete,,0.3,
sc-6,,,lv-2,concrete,,0.3,
sc-7,,,lv-2,concrete,,0.3,
sc-8,,,lv-2,concrete,,0.3,
sc-9,,,lv-2,concrete,,0.3,
sc-10,,,lv-2,concrete,,0.3,
sc-11,,,lv-2,concrete,,0.3,
sc-12,,,lv-2,concrete,,0.3,
sc-13,,,lv-2,concrete,,0.3,
sc-14,,,lv-2,concrete,,0.3,
sc-15,,,lv-2,concrete,,0.3,
sc-16,,,lv-2,concrete,,0.3,
sc-17,,,lv-2,concrete,,0.3,
sc-18,,,lv-2,concrete,,0.3,
sc-19,,,lv-2,concrete,,0.3,
sc-20,,,lv-2,concrete,,0.3,
sc-21,,,lv-2,concrete,,0.3,
sc-22,,,lv-2,concrete,,0.3,
sc-23,,,lv-2,concrete,,0.3,
sc-24,,,lv-2,concrete,,0.3,
sc-25,,,lv-2,concrete,,0.3,
sc-26,,,lv-2,concrete,,0.3,
sc-27,,,lv-2,concrete,,0.3,
sc-28,,,lv-2,concrete,,0.3,
sc-29,,,lv-2,concrete,,0.3,
sc-30,,,lv-2,concrete,,0.3,
sc-31,,,lv-2,concrete,,0.3,
sc-32,,,lv-2,concrete,,0.3,
sc-33,,,lv-2,concrete,,0.3,
sc-34,,,lv-2,concrete,,0.3,
sc-35,,,lv-2,concrete,,0.3,
sc-36,,,lv-2,concrete,,0.3,
sc-37,,,lv-2,concrete,,0.3,
sc-38,,,lv-2,concrete,,0.3,
sc-39,,,lv-2,concrete,,0.3,
sc-40,,,lv-2,concrete,,0.3,
sc-41,,,lv-2,concrete,,0.3,
sc-42,,,lv-2,concrete,,0.3,
sc-43,,,lv-2,concrete,,0.3,
sc-44,,,lv-2,concrete,,0.3,
sc-45,,,lv-2,concrete,,0.3,
sc-46,,,lv-2,concrete,,0.3,
sc-47,,,lv-2,concrete,,0.3,
sc-48,,,lv-2,concrete,,0.3,
sc-49,,,lv-2,concrete,,0.3,
sc-50,,,lv-2,concrete,,0.3,
sc-51,,,lv-2,concrete,,0.3,
sc-52,,,lv-2,concrete,,0.3,
sc-53,,,lv-2,concrete,,0.3,
sc-54,,,lv-2,concrete,,0.3,
sc-55,,,lv-2,concrete,,0.3,
sc-165,,,lv-2,steel,round,0.247,0.247
sc-166,,,lv-2,steel,round,0.247,0.247
sc-167,,,lv-2,steel,round,0.247,0.247
sc-168,,,lv-2,steel,round,0.247,0.247
sc-169,,,lv-2,steel,round,0.247,0.247
sc-170,,,lv-2,steel,round,0.247,0.247
sc-171,,,lv-1,concrete,,0.45,
sc-172,,,lv-1,concrete,,0.45,
sc-173,,,lv-1,concrete,,0.45,
sc-174,,,lv-1,concrete,,0.45,
sc-175,,,lv-1,concrete,,0.45,
sc-176,,,lv-1,concrete,,0.45,
