id,number,base_offset,host_id,position,material,width,height,operation
d-6,178,-8.839,,0.5,glass,1.803,3.562,single_swing
d-7,179,-8.839,,0.5,glass,1.803,3.562,single_swing
d-8,180,-8.839,,0.5,glass,1.803,3.562,single_swing
d-9,181,-8.839,,0.5,glass,1.803,3.562,single_swing
d-10,182,-8.839,,0.5,glass,1.803,3.562,single_swing
d-11,152,0,w-23,5.385,aluminum,0.914,2.134,single_swing
d-12,153,0,w-28,0.567,aluminum,0.914,2.134,single_swing
d-13,158,0,w-30,5.488,glass,2.54,2.54,double_swing
d-14,159,0,w-33,6.141,glass,2.54,2.54,double_swing
d-15,160,0,w-33,2.398,glass,2.54,2.54,double_swing
d-16,161,0,w-22,5.451,glass,2.54,2.54,double_swing
d-17,162,0,w-21,4.766,glass,2.54,2.54,double_swing
