id,number,mesh_file,system_type,terminal_type
tm-1,67,,,light_fixture
tm-2,68,,,light_fixture
tm-3,69,,,light_fixture
tm-4,70,,,light_fixture
tm-5,12,,,light_fixture
tm-6,2,,,light_fixture
tm-7,3,,,light_fixture
tm-8,4,,,light_fixture
tm-9,5,,,light_fixture
tm-10,6,,,light_fixture
tm-11,7,,,light_fixture
tm-12,8,,,light_fixture
tm-13,9,,,light_fixture
tm-14,10,,,light_fixture
tm-15,11,,,light_fixture
tm-16,13,,,light_fixture
tm-17,14,,,light_fixture
tm-18,15,,,light_fixture
tm-19,16,,,light_fixture
tm-20,17,,,light_fixture
tm-21,21,,,light_fixture
tm-22,18,,,light_fixture
tm-23,19,,,light_fixture
tm-24,20,,,light_fixture
tm-25,22,,,light_fixture
tm-26,23,,,light_fixture
tm-27,24,,,light_fixture
