id,number,mesh_file,top_level_id,material,thickness
w-124,,,lv-5,steel,0.138
w-125,,,lv-5,steel,0.138
w-126,,,lv-5,steel,0.138
w-127,,,lv-5,steel,0.138
w-128,,,lv-5,steel,0.138
w-129,,,lv-5,steel,0.138
w-130,,,lv-5,steel,0.138
w-131,,,lv-5,steel,0.138
w-132,,,lv-5,steel,0.138
w-133,,,lv-5,steel,0.138
w-134,,,lv-5,steel,0.138
w-135,,,lv-5,steel,0.138
w-136,,,lv-5,concrete,0.29
w-137,,,lv-5,concrete,0.29
w-138,,,lv-5,concrete,0.29
w-139,,,lv-5,concrete,0.29
w-140,,,lv-5,concrete,0.29
w-141,,,lv-5,concrete,0.29
w-142,,,lv-5,concrete,0.29
w-143,,,lv-5,concrete,0.29
